ticket,area,direccion_entidad,Seccion,Manzana,Parcela,fecha_inspeccion
DGFyC-721717,SGO Inspecciones simples,MENDOZA 1599,25,64,29,06/10/2021
DGFyC-721702,SGO Inspecciones simples,AVENIDA DEL LIBERTADOR 6025,25,70,015e,06/05/2000
DGFyC-721706,SGO Inspecciones simples,MONTAÑESES 2113,25,63,14,06/10/2021
DGFyC-720533,SGO Verificaciones,AYACUCHO 489,9,70,14,06/10/2021
DGFyC-720854,SGO Verificaciones,CORRIENTES AV. 2699,9,6,025a,06/10/2021
DGFyC-721928,SGO Grandes Superficies,OLAYA 1742,47,67,38,23/01/2000
DGFyC-722504,SGO Grandes Superficies,BERUTI 4436,21,17,2,06/10/2021
DGFyC-518987,SGO Grandes Superficies,GODOY CRUZ 2747,21,18,11,06/10/2021
DGFyC-720846,SGO Grandes Superficies,MORLOTE 956,61,29,036A,06/10/2021
DGFyC-721161,SGO Est. Salud y Geriátricos,O'HIGGINS 2555,27,45,14,05/10/2021
DGFyC-720605,SGO Est. Hoteles y Pensiones,AVENIDA DE MAYO 623,2,27,8,06/10/2021
DGFyC-721890,SGO Est. Deportivos,MALABIA 1690,19,49,001A,06/10/2021
DGFyC-385938,SGO Est. Salud y Geriátricos,GASCON 542,17,58,42,06/10/2021
DGFyC-685753,SGO Grandes Superficies,TRONADOR 444,49,84,22,06/10/2021
DGFyC-562349,SGO Est. Salud y Geriátricos,OLAZABAL 2271,25,13,010A,06/10/2021
DGFyC-719614,SGO Est. Hoteles y Pensiones,SALTA 273,12,46,34,06/10/2021
DGFyC-721252,Auditorias Integrales Programadas,RIVADAVIA AV. 7370,48,53,8,06/10/2021
DGFyC-718315,SGO Inspecciones simples,VARELA AV. 1465,50,080A,000P,06/10/2021
DGFyC-597820,SGO Inspecciones simples,ZUVIRIA 2692,50,118,021C,06/10/2021
DGFyC-532709,SGO Inspecciones simples,VARELA AV. 1000,48,89,9,06/10/2021
DGFyC-719932,SGO Est. Hoteles y Pensiones,REPUBLICA BOLIVARIANA DE VENEZUELA 1767,12,4,021A,06/10/2021
DGFyC-709968,SGO Grandes Superficies,NECOCHEA 766,6,58,20,06/10/2021
DGFyC-722877,Auditorias Integrales Programadas,OLAVARRIA 469,6,27,21,07/10/2021
DGFyC-704903,SGO Suspensiones y Rechazos,DEHEZA 2501,43,164A,16,07/10/2021
DGFyC-685163,SGO Suspensiones y Rechazos,RUIZ HUIDOBRO 2572,43,173,5,02/03/2000
DGFyC-720205,SGO Est. Salud y Geriátricos,LUCERO 245,28,14,18,07/10/2021
DGFyC-722889,Auditorias Integrales Programadas,TRIUNVIRATO AV. 4251,51,55,012B,07/10/2021
DGFyC-720484,SGO Inspecciones simples,AYACUCHO 1237,11,73,19,07/10/2021
DGFyC-379269,SGO Est. Educativos,SERRANO 1261,31,109,004A,07/10/2021
DGFyC-722893,Auditorias Integrales Programadas,TRIUNVIRATO AV. 4208,51,51,43,08/01/2000
DGFyC-720547,SGO Inspecciones simples,AYACUCHO 1239,11,73,19,07/10/2021
DGFyC-719617,SGO Inspecciones simples,LARREA 1121,11,16,007I,06/10/2021
DGFyC-696587,SGO Fiscalización Crítica,PUJOL 1110,59,163,025E,06/10/2021
DGFyC-720862,SGO Fiscalización Crítica,MENDEZ DE ANDES 652,45,034C,20,07/10/2021
DGFyC-722895,SGO Fiscalización Crítica,GASCON 564,17,58,44,06/10/2021
DGFyC-707916,SGO Fiscalización Crítica,YERBAL 2507,65,062A,27,07/10/2021
DGFyC-721905,SGO Fiscalización Crítica,GASCON 1036,17,63,24,07/10/2021
DGFyC-721323,SGO Fiscalización Crítica,BUCARELLI 2392,51,37,38,07/10/2021
DGFyC-695991,SGO Fiscalización Crítica,OLAZABAL AV. 5001,51,48,022A,07/10/2021
DGFyC-196332,SGO Est. Deportivos,MUÑECAS 1076,47,99,44,06/10/2021
DGFyC-715219,SGO Est. Deportivos,CORRIENTES AV. 5736,47,177,32,06/10/2021
DGFyC-695960,SGO Fiscalización Crítica,BLANCO ENCALADA 4902,51,58,14,07/10/2021
DGFyC-722903,SGO Fiscalización Crítica,NAZCA AV. 4736,73,023A,20,07/10/2021
DGFyC-721910,SGO Fiscalización Crítica,GUARDIA VIEJA 3360,13,52,6,07/10/2021
DGFyC-707339,SGO Fiscalización Crítica,YERBAL 2377,65,082A,16,07/10/2021
DGFyC-719608,SGO Fiscalización Crítica,RIVADAVIA AV. 9212,60,140C,2,02/01/2000
DGFyC-720847,SGO Fiscalización Crítica,DIRECTORIO AV. 801,40,30,33,06/10/2021
DGFyC-722910,SGO Fiscalización Crítica,GUARDIA VIEJA 3302,13,52,1,07/10/2021
DGFyC-722911,SGO Fiscalización Crítica,CORRIENTES AV. 3799,13,7,20,10/01/2000
DGFyC-721926,SGO Fiscalización Crítica,MOSCONI GENERAL AV. 2883,73,31,018A,07/10/2021
DGFyC-721340,SGO Fiscalización Crítica,CABILDO AV. 4617,29,10,13,07/10/2021
DGFyC-722912,SGO Fiscalización Crítica,MONROE AV. 5301,63,088A,1,31/12/1999
DGFyC-722913,SGO Fiscalización Crítica,MONROE AV. 5246,51,43,5,07/10/2021
DGFyC-715141,SGO Est. Deportivos,GAVILAN 2029,,,,07/10/2021
DGFyC-717593,Auditorias Integrales Programadas,GUARANI 192,32,21,20,06/10/2021
DGFyC-719826,SGO Fiscalización Nocturna,GURRUCHAGA 600,31,19,19,07/10/2021
DGFyC-722035,SGO Fiscalización Nocturna,HONDURAS 5339,19,055A,008a,07/10/2021
DGFyC-722537,Auditorias Integrales Programadas,RIVADAVIA AV. 6153,57,37,025A,07/10/2021
DGFyC-719740,SGO Grandes Superficies,CABOTO 1129,6,68,020B,07/10/2021
DGFyC-721250,Auditorias Integrales Programadas,CONDARCO 55,65,51,013a,09/01/2000
DGFyC-709788,SGO Grandes Superficies,NAZARRE 3964,81,73,009A,07/10/2021
DGFyC-719955,SGO Inspecciones simples,GUARDIA VIEJA 4088,17,82,7,06/10/2021
DGFyC-704654,SGO Inspecciones simples,GASCON 570,17,58,045a,11/01/2000
DGFyC-721315,SGO Inspecciones simples,GUARDIA VIEJA 3579,13,31,18,07/10/2021
DGFyC-721921,SGO Grandes Superficies,OLAYA 1731,47,77,14,07/10/2021
DGFyC-719749,SGO Inspecciones simples,RIVADAVIA AV. 2591,9,16,14,07/10/2021
DGFyC-719764,SGO Inspecciones simples,CASTELLI 9,9,11,12,07/10/2021
DGFyC-615101,SGO Inspecciones simples,ASAMBLEA AV. 1408,44,109,1,06/10/2021
DGFyC-720619,SGO Inspecciones simples,CERRITO 352,5,53,028B,06/10/2021
DGFyC-720629,SGO Inspecciones simples,LAVALLE 1326,5,39,2,07/10/2021
DGFyC-720623,SGO Inspecciones simples,LAVALLE 1144,5,054B,003B,13/01/2000
DGFyC-720556,SGO Inspecciones simples,CURAPALIGUE 1297,44,101,21,07/10/2021
DGFyC-418755,SGO Inspecciones simples,CURAPALIGUE 1293,44,101,21,07/10/2021
DGFyC-718445,SGO Inspecciones simples,CURAPALIGUE 816,42,34,008B,07/10/2021
DGFyC-714533,SGO Est. Deportivos,VERNET AV. 371,40,89,017A,07/10/2021
DGFyC-720510,SGO Verificaciones,SAN JOSE 742,12,32,017C,06/10/2021
DGFyC-717345,SGO Est. Deportivos,AVENIDA GARCIA DEL RIO 2951,43,129,21,07/10/2021
DGFyC-720480,SGO Verificaciones,MORON 3036,65,16,5,07/10/2021
DGFyC-720515,SGO Verificaciones,SALTA 547,12,43,6,07/10/2021
DGFyC-720522,SGO Verificaciones,MORENO 1302,12,36,011A,07/10/2021
DGFyC-720448,SGO Inspecciones simples,CHICLANA AV. 3577,32,33,021D,07/10/2021
DGFyC-634919,SGO Verificaciones,SALTA 98,12,57,010A,08/01/2000
DGFyC-720446,SGO Inspecciones simples,BATHURST 3400,32,44,010B,30/01/2000
DGFyC-719820,SGO Inspecciones simples,CHICLANA AV. 3701,38,208,26,07/10/2021
DGFyC-723006,SGO Eventos Deportivos,AVELLANEDA AV. 1240,57,039B,000D,02/01/2000
DGFyC-721355,SGO Fiscalización Crítica,EL SALVADOR 4701,19,66,27,07/10/2021
DGFyC-720481,SGO Verificaciones,MORON 3100,65,16,012A,07/10/2021
DGFyC-719228,SGO Fiscalización Crítica,RIVADAVIA AV. 7802,54,194,1,07/10/2021
DGFyC-719230,SGO Fiscalización Crítica,RIVADAVIA AV. 7927,77,130,021A,08/02/2000
DGFyC-714263,SGO Fiscalización Crítica,AVELLANEDA AV. 4199,77,81,1,07/10/2021
DGFyC-723030,SGO Fiscalización Crítica,AVELLANEDA AV. 4197,77,81,1,07/10/2021
DGFyC-721401,SGO Fiscalización Crítica,ARAOZ 1197,31,100,1,07/10/2021
DGFyC-721934,SGO Fiscalización Crítica,GORRITI 5516,35,2,1,07/10/2021
DGFyC-723031,SGO Fiscalización Crítica,CORRIENTES AV. 3799,13,7,20,27/01/2000
DGFyC-723032,SGO Fiscalización Crítica,CORRIENTES AV. 3828,17,105,3,07/10/2021
DGFyC-723033,SGO Fiscalización Crítica,CORRIENTES AV. 3738,13,6,003A,06/05/2000
DGFyC-723039,SGO Fiscalización Nocturna,MALABIA 1064,31,77,27,06/05/2000
DGFyC-721297,SGO Inspecciones simples,FLORIDA 142,1,018B,015A,12/01/2000
DGFyC-705707,SGO Fiscalización Nocturna,RIVADAVIA 1392,12,40,7,07/10/2021
DGFyC-720805,SGO Fiscalización Nocturna,ARENALES 2900,15,105,12,05/10/2021
DGFyC-721042,SGO Fiscalización Nocturna,BELGRANO AV. 3584,28,4,10,07/10/2021
DGFyC-718487,SGO Fiscalización Nocturna,SAN MARTIN 941,3,54,15,07/10/2021
DGFyC-693936,SGO Fiscalización Nocturna,PARAGUAY 779,3,35,21,15/01/2000
DGFyC-722053,SGO Fiscalización Nocturna,RIVADAVIA AV. 7428,48,37,5,07/10/2021
DGFyC-722507,SGO Fiscalización Nocturna,SAENZ AV. 637,38,190,28,07/10/2021
DGFyC-720558,SGO Fiscalización Nocturna,PEPIRI 605,32,59,001A,07/10/2021
DGFyC-717236,SGO Fiscalización Nocturna,REPUBLICA BOLIVARIANA DE VENEZUELA 2040,20,53,6,06/10/2021
DGFyC-722598,SGO Fiscalización Nocturna,JUNIN 1787,11,61,11,07/10/2021
DGFyC-720453,SGO Fiscalización Nocturna,RIVADAVIA 1134,12,58,3,07/10/2021
DGFyC-722041,SGO Fiscalización Nocturna,RIVADAVIA 878,2,9,7,07/10/2021
DGFyC-722046,SGO Fiscalización Nocturna,AVENIDA DE MAYO 948,12,77,3,07/10/2021
DGFyC-723042,SGO Fiscalización Crítica,RIVADAVIA AV. 7927,77,130,021A,07/10/2021
DGFyC-723044,SGO Fiscalización Crítica,RIVADAVIA AV. 7525,65,10,14,07/10/2021
DGFyC-723045,SGO Fiscalización Crítica,RIVADAVIA AV. 7428,48,37,5,07/10/2021
DGFyC-723046,SGO Fiscalización Crítica,RIVADAVIA AV. 7425,65,20,20,07/10/2021
DGFyC-723047,SGO Fiscalización Crítica,RIVADAVIA AV. 7217,65,041A,15,20/01/2000
DGFyC-723049,SGO Fiscalización Crítica,BOYACA AV. 28,,,,07/10/2021
DGFyC-723053,SGO Fiscalización Crítica,DARWIN 1669,,,,07/10/2021
DGFyC-723058,Auditorias Integrales Programadas,CARABOBO AV. 43,48,155,014a,07/10/2021
DGFyC-723072,SGO Fiscalización Crítica,JUNIN 1787,11,61,11,01/04/2000
DGFyC-723073,SGO Fiscalización Crítica,ECUADOR 60,13,76,17,14/04/2000
DGFyC-723074,SGO Fiscalización Crítica,RIVADAVIA AV. 3471,13,23,16,07/10/2021
DGFyC-720450,SGO Inspecciones simples,CHICLANA AV. 3642,32,30,16,08/10/2021
DGFyC-720730,SGO Inspecciones simples,BOEDO AV. 1589,38,216,015A,08/10/2021
DGFyC-720715,SGO Inspecciones simples,CASTRO BARROS 1430,36,104,8,29/01/2000
DGFyC-720732,SGO Inspecciones simples,BOEDO AV. 1692,32,37,23,11/02/2000
DGFyC-703465,SGO Grandes Superficies,TRONADOR 354,49,31,1,08/10/2021
DGFyC-720872,SGO Fiscalización Crítica,GARCIA DE COSSIO 5735,60,40,25,07/10/2021
DGFyC-718625,SGO Fiscalización Crítica,PERU 501,,,,04/02/2000
DGFyC-694764,SGO Fiscalización Crítica,PERU 342,2,32,13,07/10/2021
DGFyC-719151,SGO Fiscalización Crítica,BALCARCE 678,2,56,9,07/10/2021
DGFyC-718351,SGO Fiscalización Crítica,ACOYTE AV. 263,45,81,11,07/10/2021
DGFyC-721387,SGO Fiscalización Crítica,YERBAL 739,45,29,015A,07/10/2021
DGFyC-718326,SGO Fiscalización Crítica,DEFENSA 1665,8,54,19,07/10/2021
DGFyC-692368,SGO Fiscalización Crítica,CERVANTES 2995,87,39,17,06/10/2021
DGFyC-582438,SGO Fiscalización Crítica,CUENCA 3602,83,235,30,07/10/2021
DGFyC-721391,SGO Fiscalización Crítica,BEAUCHEF 229,40,87,33,07/10/2021
DGFyC-723161,SGO Fiscalización Crítica,ROSARIO 400,40,102,007A,07/10/2021
DGFyC-723162,SGO Fiscalización Crítica,SARMIENTO 1662,5,11,6,07/10/2021
DGFyC-721941,SGO Fiscalización Crítica,RIVADAVIA AV. 1908,20,66,2,07/10/2021
DGFyC-721945,SGO Fiscalización Crítica,CORDOBA AV. 2988,13,64,8,07/10/2021
DGFyC-699914,SGO Fiscalización Crítica,RIVADAVIA AV. 5299,45,41,021A,05/10/2021
DGFyC-697702,SGO Fiscalización Crítica,RIVADAVIA AV. 5499,45,14,018A,07/10/2021
DGFyC-723164,SGO Fiscalización Crítica,SARMIENTO 1752,5,3,7,07/10/2021
DGFyC-719113,SGO Fiscalización Crítica,CAMPANA 3977,83,240,0,06/10/2021
DGFyC-694229,SGO Fiscalización Crítica,FERNANDEZ DE ENCISO 3928,83,46,009b,30/03/2000
DGFyC-719856,SGO Fiscalización Nocturna,RIVADAVIA AV. 4548,40,148,5,07/10/2021
DGFyC-715604,SGO Fiscalización Crítica,CHILE 1402,12,23,1,07/10/2021
DGFyC-718338,SGO Fiscalización Crítica,CASEROS AV. 474,8,54,001f,06/10/2021
DGFyC-719863,SGO Fiscalización Nocturna,RIVADAVIA AV. 4718,40,119,006B,07/10/2021
DGFyC-721591,SGO Fiscalización Nocturna,RIVADAVIA AV. 4929,45,091A,16,06/10/2021
DGFyC-721599,SGO Fiscalización Nocturna,SANCHEZ DE BUSTAMANTE 306,13,27,022A,06/10/2021
DGFyC-721597,SGO Fiscalización Nocturna,SANCHEZ DE BUSTAMANTE 394,13,27,1,30/03/2000
DGFyC-721141,SGO Fiscalización Nocturna,URIARTE 1830,19,87,14,09/01/2000
DGFyC-720718,SGO Fiscalización Nocturna,FITZ ROY 1655,35,16,13,11/01/2000
DGFyC-720564,SGO Fiscalización Nocturna,GORRITI 5568,35,2,8,06/10/2021
DGFyC-721600,SGO Fiscalización Nocturna,RIVADAVIA AV. 7800,54,206,006C,08/10/2021
DGFyC-722064,SGO Fiscalización Nocturna,RIVADAVIA AV. 3469,13,23,16,15/01/2000
DGFyC-722058,SGO Fiscalización Nocturna,ARAOZ 2424,19,167,22,08/10/2021
DGFyC-721308,SGO Fiscalización Nocturna,COSTA RICA 4661,19,83,24,08/10/2021
DGFyC-722072,SGO Fiscalización Nocturna,CORRIENTES AV. 3530,13,28,3,31/12/1999
DGFyC-723225,SGO Fiscalización Nocturna,COSTA RICA 5673,35,59,17,08/10/2021
DGFyC-723230,SGO Fiscalización Crítica,MEXICO 1558,12,17,8,21/03/2000
DGFyC-723231,SGO Fiscalización Crítica,MEXICO 1176,12,51,9,08/10/2021
DGFyC-723232,SGO Fiscalización Crítica,MEXICO 918,12,71,2,08/10/2021
DGFyC-723236,SGO Fiscalización Crítica,O'BRIEN 1217,16,51,14,07/10/2021
DGFyC-723237,SGO Fiscalización Crítica,O'BRIEN 1232,16,50,001A,15/01/2000
DGFyC-723238,SGO Fiscalización Crítica,BALCARCE 1235,4,32,40,02/01/2000
DGFyC-723239,SGO Fiscalización Crítica,O'BRIEN 1233,16,51,11,08/10/2021
DGFyC-723240,SGO Fiscalización Crítica,SALTA 1440,14,52,003a,09/10/2021
DGFyC-723241,SGO Fiscalización Crítica,SALTA 1456,14,52,004B,09/10/2021
DGFyC-723242,SGO Fiscalización Crítica,CONSTITUCION 1323,14,37,31,09/10/2021
DGFyC-723243,SGO Fiscalización Crítica,CONSTITUCION 1500,14,27,007B,09/10/2021
DGFyC-723244,SGO Fiscalización Crítica,ECUADOR 60,13,76,17,09/10/2021
DGFyC-723245,SGO Fiscalización Crítica,RIVADAVIA AV. 1912,20,66,2,09/10/2021
DGFyC-723246,SGO Fiscalización Crítica,RIVADAVIA AV. 7426,48,37,4,09/10/2021
DGFyC-723247,SGO Fiscalización Crítica,ECUADOR 20,13,76,014D,09/10/2021
DGFyC-723248,SGO Fiscalización Crítica,RIVADAVIA AV. 7518,48,24,3,09/10/2021
DGFyC-723249,SGO Fiscalización Crítica,RIVADAVIA AV. 3475,13,23,16,09/10/2021
DGFyC-723250,SGO Fiscalización Crítica,RIVADAVIA AV. 7609,65,1,025B,09/10/2021
DGFyC-723251,SGO Fiscalización Crítica,RIVADAVIA AV. 7425,65,20,20,09/10/2021
DGFyC-723252,SGO Fiscalización Crítica,RIVADAVIA AV. 7943,77,130,021A,09/10/2021
DGFyC-723253,SGO Fiscalización Crítica,RIVADAVIA AV. 10415,95,34,022e,31/12/1999
DGFyC-723254,SGO Fiscalización Crítica,RIVADAVIA AV. 7525,65,10,14,09/10/2021
DGFyC-723255,SGO Fiscalización Crítica,RIVADAVIA AV. 10943,95,27,26,09/10/2021
DGFyC-723256,SGO Fiscalización Crítica,RIVADAVIA AV. 7517,65,10,015e,09/10/2021
DGFyC-723259,SGO Fiscalización Crítica,RIVADAVIA AV. 11017,95,27,020c,09/10/2021
DGFyC-648354,SGO Inspecciones simples,HABANA 3709,83,126A,1,06/10/2021
DGFyC-650361,SGO Inspecciones simples,SAN NICOLAS 4510,83,130,027d,06/10/2021
DGFyC-723266,Auditorias Integrales Programadas,MANZANARES 3169,43,95,15,30/12/1999
DGFyC-716190,SGO Inspecciones simples,FERNANDEZ DE ENCISO 4550,83,152,11,20/03/2000
DGFyC-720457,SGO Inspecciones simples,CONSTITUCION 1320,14,36,2,30/12/1999
DGFyC-720459,SGO Inspecciones simples,CONSTITUCION 1382,14,36,011A,31/12/1999
DGFyC-720466,SGO Inspecciones simples,COCHABAMBA 1337,14,38,029c,30/12/1999
DGFyC-721222,Auditorias Integrales Programadas,CIUDAD DE LA PAZ 353,35,94,016F,01/01/2000
DGFyC-720991,SGO Est. Hoteles y Pensiones,BRASIL 1469,16,41,24,01/01/2000
DGFyC-707996,SGO Suspensiones y Rechazos,RIVADAVIA AV. 7650,48,12,005C,30/12/1999
DGFyC-721111,SGO Verificaciones,RIVADAVIA AV. 6476,48,155,005d,18/01/2000
DGFyC-718852,SGO Suspensiones y Rechazos,PUMACAHUA 33,42,010A,037A,09/10/2021
DGFyC-721712,SGO Inspecciones simples,MONTAÑESES 2073,25,62,8,09/10/2021
DGFyC-721715,SGO Inspecciones simples,ARRIBEÑOS 2170,25,050B,8,06/10/2021
DGFyC-721716,SGO Inspecciones simples,ARRIBEÑOS 2290,25,051A,1,07/10/2021
DGFyC-721718,SGO Inspecciones simples,MENDOZA 1629,25,57,022a,07/10/2021
DGFyC-721720,SGO Inspecciones simples,ARRIBEÑOS 2417,25,59,015c,03/01/2000
DGFyC-687649,SGO Suspensiones y Rechazos,SALTA 1563,14,43,016a,07/10/2021
DGFyC-721838,SGO Fiscalización Crítica,COSTA RICA 5527,35,58,31,07/10/2021
DGFyC-673903,SGO Suspensiones y Rechazos,O'BRIEN 1188,16,60,5,14/01/2000
DGFyC-719654,SGO Fiscalización Crítica,PUEYRREDON AV. 1484,,,,03/02/2000
DGFyC-704885,SGO Fiscalización Crítica,MONTEVIDEO 1444,7,21,19,09/10/2021
DGFyC-720455,SGO Fiscalización Crítica,GORRITI 5099,19,035A,012a,09/10/2021
DGFyC-720907,SGO Fiscalización Crítica,CIUDAD DE LA PAZ 2130,,,,09/10/2021
DGFyC-721509,SGO Fiscalización Crítica,ARRIBEÑOS 2290,25,051A,1,16/01/2000
DGFyC-698715,SGO Suspensiones y Rechazos,O'BRIEN 1154,16,60,2,09/10/2021
DGFyC-723315,Auditorias Integrales Programadas,RIVADAVIA AV. 4980,40,88,009I,09/10/2021
DGFyC-234961,SGO Est. Educativos,MONTEVIDEO 1050,7,17,049b,09/10/2021
DGFyC-723321,Auditorias Integrales Programadas,GUIDO 1980,11,61,9,09/10/2021
DGFyC-722005,SGO Fiscalización Crítica,AZCUENAGA 1775,11,38,004F,09/10/2021
DGFyC-723339,Auditorias Integrales Programadas,RODRIGUEZ PEÑA 1832,7,10,013B,09/10/2021
DGFyC-723340,Auditorias Integrales Programadas,ARCOS 3220,27,30,001a,04/01/2000
DGFyC-721436,SGO Fiscalización Crítica,ARCOS 2023,25,24,13,09/10/2021
DGFyC-696887,SGO Fiscalización Crítica,11 DE SEPTIEMBRE DE 1888 3673,29,92,001B,09/10/2021
DGFyC-723341,SGO Fiscalización Crítica,ARRIBEÑOS 2315,25,58,16,09/10/2021
DGFyC-723342,Auditorias Integrales Programadas,MONROE 2767,41,119,16,09/10/2021
DGFyC-723343,Auditorias Integrales Programadas,CRAMER AV. 2467,39,73,10,09/10/2021
DGFyC-721506,SGO Fiscalización Crítica,CRAMER AV. 3002,41,102,1,09/10/2021
DGFyC-723345,SGO Fiscalización Crítica,11 DE SEPTIEMBRE DE 1888 3702,29,80,018b,09/10/2021
DGFyC-701747,SGO Fiscalización Crítica,JUNIN 1725,11,61,18,09/10/2021
DGFyC-723348,SGO Fiscalización Crítica,AZCUENAGA 796,,,,09/10/2021
DGFyC-666992,SGO Fiscalización Nocturna,EL SALVADOR 4800,19,50,9,10/10/2021
DGFyC-721598,SGO Fiscalización Nocturna,CHACABUCO 162,2,25,016C,10/10/2021
DGFyC-721588,SGO Fiscalización Nocturna,CHACABUCO 733,2,10,29,09/10/2021
DGFyC-693126,SGO Fiscalización Nocturna,HONDURAS 5090,19,035B,004B,09/10/2021
DGFyC-679031,SGO Fiscalización Nocturna,GURRUCHAGA 1493,19,16,012B,07/01/2000
DGFyC-721310,SGO Fiscalización Nocturna,CORDOBA AV. 5217,31,115,15,10/10/2021
DGFyC-720549,SGO Fiscalización Nocturna,ARIAS 2253,29,23,20,04/01/2000
DGFyC-705710,SGO Fiscalización Nocturna,CHACABUCO 947,4,11,036B,10/10/2021
DGFyC-722098,SGO Fiscalización Nocturna,BALCARCE 563,2,48,18,10/10/2021
DGFyC-720560,SGO Fiscalización Nocturna,DEFENSA 901,4,29,21,10/10/2021
DGFyC-709326,SGO Fiscalización Nocturna,O'BRIEN 1235,16,51,10,31/12/1999
DGFyC-723357,SGO Fiscalización Crítica,ECUADOR 60,13,76,17,10/10/2021
DGFyC-723358,SGO Fiscalización Crítica,RIVADAVIA AV. 3475,13,23,16,10/10/2021
DGFyC-723359,SGO Fiscalización Crítica,CORRIENTES AV. 3530,13,28,3,10/10/2021
DGFyC-723360,SGO Fiscalización Crítica,AGUERO 445,13,59,13,10/10/2021
DGFyC-723361,SGO Fiscalización Crítica,GUARDIA VIEJA 3360,13,52,6,10/10/2021
DGFyC-723362,SGO Fiscalización Crítica,GASCON 1040,17,63,24,22/01/2000
DGFyC-723363,SGO Fiscalización Crítica,CORDOBA AV. 4119,31,97,22,10/10/2021
DGFyC-723364,SGO Fiscalización Crítica,CORDOBA AV. 4175,31,97,14,09/10/2021
DGFyC-723365,SGO Fiscalización Crítica,CORDOBA AV. 5208,31,82,27,10/10/2021
DGFyC-723374,SGO Fiscalización Crítica,HONDURAS 5347,19,055A,008a,10/10/2021
DGFyC-723375,SGO Fiscalización Crítica,DARWIN 1669,,,,10/10/2021
DGFyC-723376,SGO Fiscalización Crítica,HONDURAS 5535,35,30,24,10/10/2021
DGFyC-723381,SGO Fiscalización Crítica,ARAOZ 2422,19,167,22,10/10/2021
DGFyC-723382,SGO Fiscalización Crítica,AVENIDA DEL LIBERTADOR 3883,21,136A,P3F3,10/10/2021
DGFyC-723172,SGO Eventos Masivos,REPUBLICA BOLIVARIANA DE VENEZUELA 509,2,31,15,10/10/2021
DGFyC-723392,Auditorias Integrales Programadas,MORENO 970,12,74,006I,10/10/2021
DGFyC-723076,SGO Eventos Masivos,HUMBOLDT 450,,,,10/10/2021
DGFyC-723174,SGO Eventos Deportivos,LUNA 1211,26,11,0,31/12/1999
DGFyC-683385,SGO Inspecciones simples,RECONQUISTA 946,3,54,29,10/10/2021
DGFyC-723260,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 7395,27,145,000M,07/10/2021
DGFyC-723261,SGO Eventos Masivos,GUTENBERG 350,61,013A,0,24/01/2000
DGFyC-718705,SGO Inspecciones simples,JUNCAL 843,3,32,030A,05/01/2000
DGFyC-722779,SGO Est. Salud y Geriátricos,CURAPALIGUE 35,42,21,46,05/01/2000
DGFyC-718519,SGO Grandes Superficies,ECHEANDIA 5432,64,15,4,08/01/2000
DGFyC-718691,SGO Inspecciones simples,CORDOBA AV. 886,1,8,015b,10/01/2000
DGFyC-699818,SGO Inspecciones simples,JUNCAL 942,3,23,002k,16/06/2000
DGFyC-718891,SGO Suspensiones y Rechazos,ALVAREZ JONTE AV. 3112,67,013F,1,06/10/2021
DGFyC-720724,SGO Verificaciones,CUENCA 2720,81,163,033A,25/04/2000
DGFyC-651726,SGO Suspensiones y Rechazos,SOLIS 1859,16,18,38,08/10/2021
DGFyC-720720,SGO Verificaciones,CUENCA 2762,81,163,36,08/10/2021
DGFyC-720714,SGO Verificaciones,CUENCA 2729,69,7,26,08/10/2021
DGFyC-584190,SGO Inspecciones simples,ENTRE RIOS AV. 636,12,2,12,07/10/2021
DGFyC-719091,SGO Inspecciones simples,ESTADOS UNIDOS 2341,22,29,22,07/10/2021
DGFyC-715230,SGO Est. Deportivos,LAVALLE 850,1,5,11,07/10/2021
DGFyC-715543,SGO Fiscalización Crítica,MELINCUE 3633,81,114,30,07/10/2021
DGFyC-721535,SGO Fiscalización Crítica,NAVARRO 3190,71,9,3,07/10/2021
DGFyC-722438,SGO Fiscalización Crítica,GASCON 104,17,54,018D,07/10/2021
DGFyC-721031,SGO Grandes Superficies,PRINGLES 982,17,34,27,07/10/2021
DGFyC-505868,SGO Grandes Superficies,YATAY 753,17,32,018a,07/10/2021
DGFyC-719662,SGO Fiscalización Crítica,SUIPACHA 548,5,72,37,07/10/2021
DGFyC-721526,SGO Fiscalización Nocturna,BERUTI 4602,21,19,001A,10/10/2021
DGFyC-705052,SGO Grandes Superficies,TINOGASTA 6058,93,68,18,09/01/2000
DGFyC-720757,SGO Inspecciones simples,ARCE 776,23,85,4,10/10/2021
DGFyC-716020,SGO Fiscalización Nocturna,AYACUCHO 2080,11,67,009B,07/10/2021
DGFyC-720763,SGO Inspecciones simples,BAEZ 745,23,85,018a,07/10/2021
DGFyC-705273,SGO Fiscalización Crítica,ALVAREZ JONTE AV. 5299,87,001B,30,07/10/2021
DGFyC-721528,SGO Fiscalización Crítica,BAIGORRIA 3241,81,163,029B,10/10/2021
DGFyC-402804,SGO Grandes Superficies,CUENCA 1384,79,137,043A,10/10/2021
DGFyC-720497,SGO Est. Hoteles y Pensiones,SANTIAGO DEL ESTERO 1687,16,45,032D,10/10/2021
DGFyC-604391,SGO Inspecciones simples,MALABIA 1918,19,90,28,07/10/2021
DGFyC-720766,SGO Inspecciones simples,CONGRESO 2376,27,3,008b,07/10/2021
DGFyC-720768,SGO Inspecciones simples,CABILDO AV. 2421,25,7,008a,10/10/2021
